timestamp,provider,model,duration_ms,ttft_ms,status,stop_reason,input_tokens,output_tokens,total_tokens,cost_usd,is_streaming,has_tools,has_thinking,preview_text
2026-02-26T08:20:26.703735,openai,gpt-5.3-codex,8728.280067443848,1206.5460681915283,success,end_turn,8593,401,8994,0.0254925,True,True,True,"# AGENTS.md instructions for /Users/alx/Development/agenticloops-ai/agentlens/samples/codex

<INSTRUCTIONS>
## Skills
A skill is a set of local instructions to follow that is stored in a `SKILL.md` fi"
2026-02-26T08:20:30.711957,openai,gpt-5.3-codex,3672.5687980651855,392.46273040771484,success,end_turn,9103,177,9280,0.0245275,True,True,True,"# AGENTS.md instructions for /Users/alx/Development/agenticloops-ai/agentlens/samples/codex

<INSTRUCTIONS>
## Skills
A skill is a set of local instructions to follow that is stored in a `SKILL.md` fi"
2026-02-26T08:21:26.794777,openai,gpt-5.3-codex,55827.07500457764,377.6581287384033,success,end_turn,9489,3886,13375,0.0625825,True,True,True,"# AGENTS.md instructions for /Users/alx/Development/agenticloops-ai/agentlens/samples/codex

<INSTRUCTIONS>
## Skills
A skill is a set of local instructions to follow that is stored in a `SKILL.md` fi"
2026-02-26T08:21:32.913798,openai,gpt-5.3-codex,6041.910886764526,362.2467517852783,success,end_turn,13433,209,13642,0.0356725,True,True,True,"# AGENTS.md instructions for /Users/alx/Development/agenticloops-ai/agentlens/samples/codex

<INSTRUCTIONS>
## Skills
A skill is a set of local instructions to follow that is stored in a `SKILL.md` fi"
2026-02-26T08:21:48.846750,openai,gpt-5.3-codex,15394.402027130127,503.7722587585449,success,end_turn,13954,236,14190,0.037245,True,True,True,"# AGENTS.md instructions for /Users/alx/Development/agenticloops-ai/agentlens/samples/codex

<INSTRUCTIONS>
## Skills
A skill is a set of local instructions to follow that is stored in a `SKILL.md` fi"
